tracking_id	control_20min_0	20bicyclomycin_20min_0	100bicyclomycin_20min_0	control_60min_0	20bicyclomycin_60min_0
b3669	1219.23	1067.74	580.095	1305.89	1241.61
b3670	119.533	150.399	244.856	301.723	451.647
b3671	1239.16	1325.44	1778.9	3541.71	4441.76
b3672	256.331	264.737	55.8731	355.939	310.612
b3673	593.679	601.595	827.415	716.592	604.435
b3674	286.878	567.294	538.19	299.366	544.831
b3675	170.002	226.038	322.092	223.935	172.936
b3676	176.643	252.424	368.927	175.612	407.154
b3677	430.318	552.342	891.505	258.115	606.114
b3678	260.316	1335.12	2383.65	225.114	1698.29
b3679	187.268	554.981	2384.47	192.113	1025.86
b3680	100.939	306.075	1905.44	62.4661	690.903
b3683	217.815	523.318	2008.15	210.97	761.42
b3684	212.503	1861.96	4542.98	126.111	1922.44
b3685	3228.71	4090.67	4658.83	2073.17	3190.91
b3686	807.51	527.715	8643.08	429.012	1190.4
b3687	5701.71	3007.1	16711	2429.11	3893.57
b3688	2279.09	1201.43	509.431	1929.38	1340.67
b3689	2777.14	3331.64	2827.34	1737.26	4419.09
b3690	212.503	533.872	1468.31	229.828	781.568
b3691	162.033	324.545	1658.94	136.718	612.83
b3693	220.471	299.918	1635.11	159.112	715.248
b3696	637.508	2036.98	2436.23	667.09	1814.98
b3697	13946.8	10885.9	3169.16	8441.17	5453.35
b3698	1702.68	1310.49	651.579	2080.24	1501.01
b3699	28258.9	19129.7	10237.1	17231.2	14625.6
b3700	4080.05	5645.67	3897.15	3437.99	4013.61
b3701	18932.6	21676.8	7419.62	14364.8	11294.5
b3702	15508.7	14005.6	6138.65	11504.4	8981.73
b3703	10213.4	11493.6	3603	6995.02	5123.42
b3704	19777.3	30965.5	10785.2	14349.5	19626.5
b3705	47999	50709.9	35336.5	31629	36724.5
b3706	7983.45	7367.78	4093.53	6530.65	4801.06
b3707	3.98442	35.181	64.0898	0	52.0486
b3708	132.814	1094.13	2467.46	205.077	3894.41
b3709	81.0166	680.753	1665.51	120.218	2256.56
b3710	528.6	674.596	1561.16	352.403	923.442
b3711	1889.94	1603.37	1625.25	1407.25	1626.94
b3712	2864.8	3080.98	2441.16	1704.26	3454.51
b3713	5393.58	4650.05	4161.73	2123.85	3281.58
b3714	14181.9	14395.2	5414.76	14981.2	10278.7
b3715	3281.84	3878.71	3937.41	2265.28	2317
b3716	207.19	573.451	838.919	308.795	753.865
b3717	371.879	687.789	1190.59	327.652	657.323
b3718	325.394	2356.25	2354.89	419.583	1914.88
b3719	211.174	1159.21	3662.16	264.008	1757.06
b3720	53.1256	1106.44	4173.23	107.253	2139.87
b3721	131.486	546.185	2179.05	114.325	1015.79
b3722	5036.31	32565.3	12366.9	4979.61	22822.5
b3723	86.3291	1399.32	10332.4	69.5377	1531.23
b3724	7473.45	4306.16	5068.84	1595.83	3038.12
b3725	7025.86	5636	5995.68	2548.14	3924.63
b3726	2924.57	2250.71	2147.01	978.242	1691.58
b3727	4425.36	3455.66	2812.55	1736.09	2162.53
b3728	11445.9	4299.12	4083.67	3351.95	3884.33
b3729	69512.2	24298.6	7907.69	26313.5	15547.4
b3730	63745.4	36940.1	11470.4	36281	17904.7
b3731	43503.3	28583.7	20413.4	30442.2	20809.3
b3732	67039.2	29442.1	12784.3	42818.7	32609.3
b3733	57679.8	25467.5	11564.1	48538.5	29406.6
b3734	119913	56272	25469.1	105866	69757.7
b3735	33389.5	16656.5	7626.68	29742.1	17909.7
b3736	59648.1	34838	18383.1	52311.2	35010.2
b3737	19212.9	10148	7311.16	15226.4	10498.7
b3738	38488.2	27963.6	8773.72	33180.1	19469.5
b3739	9522.77	9926.32	3297.34	9532.56	6718.46
b3740	2894.02	6168.11	7758.15	1976.52	4017.81
b3741	13043.7	12206.9	9003.79	9718.78	11457.4
b3742	16585.8	12141.8	6133.72	7794.12	7336.33
b3743	414.38	546.185	363.175	535.087	689.224
b3744	875.245	1517.18	1087.06	1195.11	1741.11
b3745	1872.68	1813.58	1683.59	1778.52	2008.91
b3746	4538.26	2558.54	2350.78	4403.27	2207.87
b3747	4866.31	5008.9	2276.01	4242.98	2425.29
b3748	163.361	176.785	209.524	585.767	284.588
b3749	851.338	764.308	1256.32	1038.35	823.542
b3750	1345.41	491.655	718.956	2267.64	626.262
b3751	5288.66	3740.62	2231.64	9036.37	3381.48
b3752	2559.33	1496.07	1230.03	1837.45	1723.48
b3753	804.853	1709.8	1582.52	557.48	1786.44
b3754	1292.28	2187.38	2220.96	1153.85	2119.72
b3755	4786.62	3716.87	1507.75	4634.28	1966.09
b3756	49.1412	19.3496	23.0066	16.5005	11.7529
b3757	0	0	0	0	0
b3758	158.049	98.5068	55.0515	60.1089	36.9377
b3759	0	0	0	0	0
b3760	0	0	0	0	0
b3761	9629.02	9251.73	4203.63	4126.3	2524.35
b3764	16808.9	14045.1	6309.56	10442.4	6440.59
b3765	950.949	4723.93	6408.16	2209.88	8292.51
b3766	511.334	495.173	113.39	441.977	349.229
b3769	132.814	110.82	127.358	183.862	303.896
b3770	1903.23	615.668	1290.83	1494.47	1484.22
b3771	1284.31	777.5	2335.99	865.096	1737.75
